Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 12, TIDL_ConvolutionLayer, 24, 128, 128, 48, 128, 128, 24, ROW_L, 0, 0, 5440, 16384, 4, 1, 4,,,,,,,,, L2, DMA, 10944, 10944, 24, 273664, 0, 0, MSMC, CPU, 5440, 5440, 48, 522240, 0, 60600, DDR, DMA, 27200, 16384, 48, 1306624, 0, c0400, ,,,,,,,, L2, DMA, 24, 24, 48, 1408, 0, 42d00, MSMC, DMA_ONCE, 24, 24, 48, 1408, 0, 2d1a00, 
 13, TIDL_ConvolutionLayer, 24, 128, 128, 144, 128, 128, 24, ROW_L, 0, 0, 9344, 16384, 2, 1, 2,,,,,,,,, L2, DMA, 18752, 18752, 24, 450176, 0, 0, ,,,,,,,, MSMC, CPU, 16448, 16384, 144, 2368512, 0, 0, ,,,,,,,, L2, DMA, 24, 24, 144, 4096, 0, 6de80, ,,,,,,,, 
 14, TIDL_ConvolutionLayer, 144, 128, 128, 144, 64, 64, 1,  COL, 0, 0, 16384, 16384, 12, 1, 12,,,,,,,,, L2, DMA, 16384, 16384, 24, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 144, 599040, 0, 0, ,,,,,,,, L2, DMA, 10, 10, 864, 8704, 0, 60080, ,,,,,,,, 
 15, TIDL_ConvolutionLayer, 144, 64, 64, 32, 64, 64, 144, ROW_L, 0, 0, 1472, 4096, 3, 1, 3,,,,,,,,, L2, DMA, 3008, 3008, 144, 434688, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 32, 133120, 0, 0, ,,,,,,,, L2, DMA, 192, 144, 32, 6272, 0, 6a200, ,,,,,,,, 
 16, TIDL_ConvolutionLayer, 32, 64, 64, 192, 64, 64, 32, ROW_L, 0, 0, 4096, 4096, 1, 1, 1,,,,,,,,, L2, DMA, 4160, 4160, 32, 133248, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 192, 798720, 0, 20800, ,,,,,,,, L2, DMA, 32, 32, 192, 6912, 0, 20880, ,,,,,,,, 
 17, TIDL_ConvolutionLayer, 192, 64, 64, 192, 64, 64, 1,  COL, 0, 0, 4096, 4096, 24, 1, 24,,,,,,,,, L2, DMA, 4096, 4096, 16, 65664, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 192, 798720, 0, 20800, ,,,,,,,, L2, DMA, 10, 10, 1152, 11520, 0, 10080, ,,,,,,,, 
 18, TIDL_ConvolutionLayer, 192, 64, 64, 32, 64, 64, 192, ROW_L, 0, 0, 1088, 4096, 4, 1, 4,,,,,,,,, L2, DMA, 2240, 2240, 192, 432384, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 32, 133120, 0, 20800, ,,,,,,,, L2, DMA, 192, 192, 32, 6272, 0, 69900, ,,,,,,,, 
 19, TIDL_EltWiseLayer, 64, 64, 64, 32, 64, 64, 64,  COL, 0, 0, 4096, 4096, 2, 0, 2,,,,,,,,, L2, DMA, 4160, 4160, 32, 266240, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 32, 133120, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 20, TIDL_ConvolutionLayer, 32, 64, 64, 192, 64, 64, 32, ROW_L, 0, 0, 4096, 4096, 1, 1, 1,,,,,,,,, L2, DMA, 4160, 4160, 32, 133248, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 192, 798720, 0, 20800, ,,,,,,,, L2, DMA, 32, 32, 192, 6912, 0, 20880, ,,,,,,,, 
 21, TIDL_ConvolutionLayer, 192, 64, 64, 192, 64, 64, 1,  COL, 0, 0, 4096, 4096, 24, 1, 24,,,,,,,,, L2, DMA, 4096, 4096, 16, 65664, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 192, 798720, 0, 20800, ,,,,,,,, L2, DMA, 10, 10, 1152, 11520, 0, 10080, ,,,,,,,, 
 22, TIDL_ConvolutionLayer, 192, 64, 64, 32, 64, 64, 192, ROW_L, 0, 0, 1088, 4096, 4, 1, 4,,,,,,,,, L2, DMA, 2240, 2240, 192, 432384, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 32, 133120, 0, 20800, ,,,,,,,, L2, DMA, 192, 192, 32, 6272, 0, 69900, ,,,,,,,, 
 23, TIDL_EltWiseLayer, 64, 64, 64, 32, 64, 64, 64,  COL, 0, 0, 4096, 4096, 2, 0, 2,,,,,,,,, L2, DMA, 4160, 4160, 32, 266240, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 32, 133120, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 24, TIDL_ConvolutionLayer, 32, 64, 64, 192, 64, 64, 32, ROW_L, 0, 0, 4096, 4096, 1, 1, 1,,,,,,,,, L2, DMA, 4160, 4160, 32, 133248, 0, 0, ,,,,,,,, MSMC, CPU, 4160, 4096, 192, 798720, 0, 0, ,,,,,,,, L2, DMA, 32, 32, 192, 6912, 0, 20880, ,,,,,,,, 
 25, TIDL_ConvolutionLayer, 192, 64, 64, 192, 32, 32, 1,  COL, 0, 0, 4096, 4096, 4, 1, 4,,,,,,,,, L2, DMA, 4096, 4096, 96, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 192, 208896, 0, 0, ,,,,,,,, L2, DMA, 10, 10, 1152, 11520, 0, 60080, ,,,,,,,, 
 26, TIDL_ConvolutionLayer, 192, 32, 32, 64, 32, 32, 192, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 192, 209024, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 0, ,,,,,,,, L2, DMA, 192, 192, 64, 12544, 0, 33080, MSMC, DMA_ONCE, 192, 192, 64, 12544, 0, 2ce900, 
