Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 37, TIDL_ConvolutionLayer, 384, 32, 32, 64, 32, 32, 384, ROW_L, 0, 0, 512, 1024, 2, 1, 2,,,,,,,,, L2, DMA, 1088, 1088, 384, 417920, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 11000, ,,,,,,,, L2, DMA, 448, 384, 64, 28928, 0, 66080, ,,,,,,,, 
 38, TIDL_EltWiseLayer, 128, 32, 32, 64, 32, 32, 128,  COL, 0, 0, 1024, 1024, 2, 0, 2,,,,,,,,, L2, DMA, 1088, 1088, 64, 139264, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 64, 69632, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 39, TIDL_ConvolutionLayer, 64, 32, 32, 384, 32, 32, 64, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 64, 69760, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 0, ,,,,,,,, L2, DMA, 64, 64, 384, 26112, 0, 11080, ,,,,,,,, 
 40, TIDL_ConvolutionLayer, 384, 32, 32, 384, 32, 32, 1,  COL, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1024, 1024, 384, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 384, 417792, 0, 0, ,,,,,,,, L2, DMA, 10, 10, 2304, 23040, 0, 60080, ,,,,,,,, 
 41, TIDL_ConvolutionLayer, 384, 32, 32, 96, 32, 32, 384, ROW_L, 0, 0, 448, 1024, 3, 1, 3,,,,,,,,, L2, DMA, 960, 960, 384, 369152, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 96, 104448, 0, 0, ,,,,,,,, L2, DMA, 448, 384, 96, 43392, 0, 5a200, ,,,,,,,, 
 42, TIDL_ConvolutionLayer, 96, 32, 32, 576, 32, 32, 96, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 96, 104576, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 576, 626688, 0, 19800, ,,,,,,,, L2, DMA, 192, 96, 576, 112896, 0, 19880, ,,,,,,,, 
 43, TIDL_ConvolutionLayer, 576, 32, 32, 576, 32, 32, 1,  COL, 0, 0, 1024, 1024, 3, 1, 3,,,,,,,,, L2, DMA, 1024, 1024, 384, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 576, 626688, 0, 19800, ,,,,,,,, L2, DMA, 10, 10, 3456, 34560, 0, 60080, ,,,,,,,, 
 44, TIDL_ConvolutionLayer, 576, 32, 32, 96, 32, 32, 576, ROW_L, 0, 0, 256, 1024, 4, 1, 4,,,,,,,,, L2, DMA, 576, 576, 576, 332416, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 96, 104448, 0, 19800, ,,,,,,,, L2, DMA, 576, 576, 96, 55680, 0, 51280, ,,,,,,,, 
 45, TIDL_EltWiseLayer, 192, 32, 32, 96, 32, 32, 192,  COL, 0, 0, 1024, 1024, 2, 0, 2,,,,,,,,, L2, DMA, 1088, 1088, 96, 208896, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 96, 104448, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 46, TIDL_ConvolutionLayer, 96, 32, 32, 576, 32, 32, 96, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 96, 104576, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 576, 626688, 0, 19800, ,,,,,,,, L2, DMA, 192, 96, 576, 112896, 0, 19880, ,,,,,,,, 
 47, TIDL_ConvolutionLayer, 576, 32, 32, 576, 32, 32, 1,  COL, 0, 0, 1024, 1024, 3, 1, 3,,,,,,,,, L2, DMA, 1024, 1024, 384, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 576, 626688, 0, 19800, ,,,,,,,, L2, DMA, 10, 10, 3456, 34560, 0, 60080, ,,,,,,,, 
 48, TIDL_ConvolutionLayer, 576, 32, 32, 96, 32, 32, 576, ROW_L, 0, 0, 256, 1024, 4, 1, 4,,,,,,,,, L2, DMA, 576, 576, 576, 332416, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 96, 104448, 0, 19800, ,,,,,,,, L2, DMA, 576, 576, 96, 55680, 0, 51280, ,,,,,,,, 
 49, TIDL_EltWiseLayer, 192, 32, 32, 96, 32, 32, 192,  COL, 0, 0, 1024, 1024, 2, 0, 2,,,,,,,,, L2, DMA, 1088, 1088, 96, 208896, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 96, 104448, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 50, TIDL_ConvolutionLayer, 96, 32, 32, 576, 32, 32, 96, ROW_L, 0, 0, 1024, 1024, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 96, 104576, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 576, 626688, 0, 0, ,,,,,,,, L2, DMA, 192, 96, 576, 112896, 0, 19880, ,,,,,,,, 
 51, TIDL_ConvolutionLayer, 576, 32, 32, 576, 32, 32, 1,  COL, 0, 0, 1024, 1024, 3, 1, 3,,,,,,,,, L2, DMA, 1024, 1024, 384, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 576, 626688, 0, 0, ,,,,,,,, L2, DMA, 10, 10, 3456, 34560, 0, 60080, ,,,,,,,, 
 52, TIDL_ConvolutionLayer, 576, 32, 32, 160, 32, 32, 576, ROW_L, 0, 0, 256, 1024, 4, 1, 4,,,,,,,,, L2, DMA, 576, 576, 576, 332416, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 160, 174080, 0, 0, ,,,,,,,, L2, DMA, 576, 576, 160, 92800, 0, 51280, ,,,,,,,, 
 53, TIDL_ConvolutionLayer, 160, 32, 32, 960, 32, 32, 160, ROW_L, 0, 0, 768, 1024, 2, 1, 2,,,,,,,,, L2, DMA, 1600, 1600, 160, 256128, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 960, 1044480, 0, 2a800, ,,,,,,,, L2, DMA, 192, 160, 960, 188160, 0, 3e880, ,,,,,,,, 
 54, TIDL_ConvolutionLayer, 960, 32, 32, 960, 32, 32, 1,  COL, 0, 0, 1024, 1024, 5, 1, 5,,,,,,,,, L2, DMA, 1024, 1024, 384, 393344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 960, 1044480, 0, 2a800, ,,,,,,,, L2, DMA, 10, 10, 5760, 57600, 0, 60080, MSMC, DMA_ONCE, 10, 10, 5760, 57600, 0, 2c0800, 
 55, TIDL_ConvolutionLayer, 960, 32, 32, 160, 32, 32, 960, ROW_L, 0, 0, 64, 1024, 16, 1, 16,,,,,,,,, L2, DMA, 192, 192, 960, 185344, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 160, 174080, 0, 2a800, ,,,,,,,, L2, DMA, 960, 960, 160, 154240, 0, 2d400, ,,,,,,,, 
 56, TIDL_EltWiseLayer, 320, 32, 32, 160, 32, 32, 320,  COL, 0, 0, 1024, 1024, 2, 0, 2,,,,,,,,, L2, DMA, 1088, 1088, 160, 348160, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 160, 174080, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 57, TIDL_ConvolutionLayer, 160, 32, 32, 960, 32, 32, 160, ROW_L, 0, 0, 768, 1024, 2, 1, 2,,,,,,,,, L2, DMA, 1600, 1600, 160, 256128, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 1024, 960, 1044480, 0, 2a800, ,,,,,,,, L2, DMA, 192, 160, 960, 188160, 0, 3e880, ,,,,,,,, 
